college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
Miami Ad School,"Miami, FL",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Miami Ad School Atlanta,"Atlanta, GA",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Miami Ad School San Francisco,"San Francisco, CA",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Mid Del Technology Center,"Oklahoma City, OK",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Midwest College Of Oriental Medicine Skokie,"Skokie, IL",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Midwest University,"Wentzville, MO",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mississippi Gulf Coast Community College Harrison County,"Gulfport, MS",2-year,Public,Unknown,Rural,Unknown,Unknown,Unknown
Mitchells Academy,"Wilson, NC",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Modul University Vienna,"Vienna, Austria",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Monash University Clayton Campus,"Melbourne, Australia",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Montana Bible College,"Billings, MT",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Montessori Casa International,"Denver, CO",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mount Allison University,"Sackville, Canada",4-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Muscatine Community College,"Muscatine, IA",2-year,Public,Unknown,Rural,Unknown,Unknown,Unknown
My Les Beauty College,"Sacramento, CA",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Nagoya University,"Nagoya, Japan",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
National American University: Bloomington,"Minneapolis, MN",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
National University College: Arecibo,"Arecibo, PR",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
National University College: Ponce,"Ponce, PR",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
National University College: Rio Grande,"Rio Grande, PR",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
National University of Computer and Emerging Sciences,"Islamabad, Pakistan",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
National University of Health Sciences,"Lombard, IL",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
National University Of Ireland - Maynooth,"Maynooth, Ireland",Unknown,Private,Unknown,Suburban,Unknown,Unknown,Unknown
National University of Singapore,"Singapore, Singapore",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
New England College of Business and Finance,"Boston, MA",2-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
New Orleans Baptist Theological Seminary,"New Orleans, LA",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
New York Film Academy New York City,"New York, NY",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
New York Film Academy South Beach,"Miami Beach, FL",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nile University,"Cairo, Egypt",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Northeastern Seminary,"Rochester, NY",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Northeastern University London,"London, United Kingdom",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Northern Caribbean University,"Mandeville, Jamaica",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
NorthShore University HealthSystem School Of Nurse Anesthesia,"Evanston, IL",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Northwest Technology Center Alva,"Alva, OK",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Northwestern University of Qatar,"Doha, Qatar",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Notre Dame University: Louaize,"Zouk Mosbeh, Lebanon",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nottingham Trent University,"Nottingham, United Kingdom",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
O P Jindal Global University,"Sonipat, India",Unknown,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Omega Graduate School,"Dayton, TN",4-year,Private,Unknown,Rural,Unknown,Unknown,Unknown
Ontario Tech University,"Oshawa, Canada",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Oregon College Of Oriental Medicine,"Portland, OR",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Oregon Health & Science University,"Portland, OR",4-year,Public,Small,Urban,Unknown,Unknown,Unknown
Ottawa University Kansas City,"Leawood, KS",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Ottawa University Milwaukee Brookfield,"Brookfield, WI",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Ottawa University Online,"Leawood, KS",4-year,Private,Unknown,Rural,Unknown,Unknown,Unknown
Oxford Brookes University Headington Campus,"Oxford, United Kingdom",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Paris College of Art,"Paris, France",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Payne Theological Seminary,"Wilberforce, OH",4-year,Private,Unknown,Rural,Unknown,Unknown,Unknown
Penn Foster College,"Scottsdale, AZ",2-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Phoenix Institute Of Herbal Medicine And Acupuncture,"Phoenix, AZ",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Phoenix Seminary,"Scottsdale, AZ",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Pima Medical Institute Tucson,"Tucson, AZ",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Pioneer Pacific College: Springfield,"Springfield, OR",2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Polaris Career Center,"Cleveland, OH",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Politecnico Di Torino,"Torino, Italy",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Polytechnic University Of Puerto Rico Miami,"Doral, FL",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Pontifical John Paul II Institute For Studies On Marriage And Family,"Washington, DC",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Pontotoc Technology Center,"Ada, OK",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Prairie College,"Three Hills, Canada",Unknown,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Premiere International College,"Fort Myers, FL",Unknown,Private,Unknown,Urban,Unknown,$51K,Unknown
Professional Golfers Career College: Orlando,"Apopka, FL",2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Prospect College,"Washington, DC",Less than 2-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Queen Mary University Of London,"London, United Kingdom",Unknown,Public,Unknown,Urban,Unknown,Unknown,Unknown
Queen's University,"Kingston, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Queensland University of Technology,"Brisbane, Australia",Unknown,Public,Unknown,Urban,Unknown,Unknown,Unknown
Quest University Canada,"Squamish, Canada",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rafik Hariri University,"Chouf, Lebanon",Unknown,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Ramaiah University Of Applied Sciences,"Bangalore, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Raphael Recanati International School,"Herzliya, Israel",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Ravensbourne,"London, United Kingdom",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Redeemer University College,"Ancaster, Canada",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Reformed Episcopal Seminary,"Blue Bell, PA",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Regent's University London,"London, United Kingdom",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Richmond American University London,"London, United Kingdom",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Richmont Graduate University Chattanooga,"Chattanooga, TN",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Riga Business School,"Riga, Latvia",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Ritsumeikan Asia Pacific University,"Beppu, Japan",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
RMIT University Vietnam,"Ho Chi Minh City, Viet Nam",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Rocky Mountain University Of Health Professions,"Provo, UT",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Roger Williams University School Of Law,"Bristol, RI",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Roseman University of Health Sciences,"Henderson, NV",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Rosemead Beauty School,"Rosemead, CA",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Royal Veterinary College,"London, United Kingdom",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Rush University,"Chicago, IL",4-year,Private,Small,Urban,Unknown,Unknown,Unknown
S P Jain School of Global Management,"Mumbai, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Salvation Army College for Officer Training at Crestmont,"Rancho Palos Verdes, CA",2-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Samuel Merritt University,"Oakland, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
San Diego Global Knowledge University,"San Diego, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Santa Barbara College Of Law,"Santa Barbara, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Sault College Of Applied Arts And Technology,"Sault Ste. Marie, Canada",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
School For International Training Graduate Institute,"Brattleboro, VT",4-year,Private,Unknown,Rural,Unknown,Unknown,Unknown
School Of Professional Horticulture New York Botanical Garden,"Bronx, NY",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
School of the Museum of Fine Arts,"Boston, MA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
SciencesPo,"75337 Paris Cedex 07, France",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Scott Community College,"Riverdale, IA",2-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Selma University,"Selma, AL",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Sharda University,"Greater Noida, India",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Sheridan College,"Sheridan, WY",2-year,Public,Unknown,Rural,Unknown,Unknown,Unknown
Simon Fraser University,"Burnaby, Canada",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Singapore Management University,"Singapore, Singapore",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Singapore University of Technology and Design,"Singapore, Singapore",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown
Soma Institute The National School Of Clinical Massage Therapy,"Chicago, IL",Less than 2-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
South College Asheville,"Asheville, NC",2-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Southeastern College: Miami Lakes,"Miami Lakes, FL",2-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Southern California Seminary,"El Cajon, CA",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Southern University of Science and Technology,"Shenzhen, China",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Southwest Acupuncture College Santa Fe,"Santa Fe, NM",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Southwest Institute Of Healing Arts,"Tempe, AZ",Unknown,Private,Unknown,Urban,Unknown,$53K,Unknown
Southwest Technology Center,"Altus, OK",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Southwest University,"Kenner, LA",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Sovah School of Health Professions,"Danville, VA",Unknown,Private,Unknown,Rural,Unknown,Unknown,Unknown
Srishti Manipal Institute Of Art Design And Technology,"Bengaluru, India",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
SRM Institute Of Science And Technology,"Chennai, India",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
SRM University Delhi-NCR Sonepat,"Sonepat, India",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
St John's College,"Springfield, IL",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
St. Francis Medical Center College of Nursing,"Peoria, IL",2-year,Private,Small,Urban,Unknown,Unknown,Unknown
St. Francis Xavier University,"Antigonish, Canada",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
St. Louis Community College,"Saint Louis, MO",2-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
St. Louis Community College at Florissant Valley,"Saint Louis, MO",2-year,Public,Unknown,Suburban,Unknown,Unknown,Unknown
St. Louis Community College at Meramec,"Saint Louis, MO",2-year,Public,Unknown,Suburban,Unknown,Unknown,Unknown
Stanbridge University Los Angeles,"Alhambra, CA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Stellenbosch University,"Stellenbosch, South Africa",Unknown,Public,Unknown,Urban,Unknown,Unknown,Unknown
Stockholm School Of Economics,"Stockholm, Sweden",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Strayer University Birmingham,"Birmingham, AL",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Strayer University Jackson,"Jackson, MS",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Strayer University Little Rock,"Little Rock, AR",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Summit Academy Opportunities Industrialization Center,"Minneapolis, MN",Less than 2-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
SUNY Downstate Health Sciences University,"Brooklyn, NY",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
SUNY Upstate Medical University,"Syracuse, NY",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Talpiot College,"Toronto, Canada",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Technion,"Haifa, Israel",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tel Aviv University,"Tel Aviv, Israel",Unknown,Public,Unknown,Urban,Unknown,Unknown,Unknown
Temple University: Japan,"Tokyo, Japan",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Texas A&M University at Qatar,"Doha, Qatar",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Texas Tech University Health Sciences Center,"Lubbock, TX",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Texila American University,"Georgetown, Guyana",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
The Hong Kong University Of Science And Technology,"Hong Kong, Hong Kong",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
The Sanford Medical Center School Of Radiologic Technology In Sioux Falls,"Sioux Falls, SD",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
The University of Salford,"Salford, United Kingdom",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Theatre Of Arts,"Los Angeles, CA",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown
Thomas Edison State University,"Trenton, NJ",4-year,Public,Large,Urban,Unknown,Unknown,Unknown
Tidewater Community College - Norfolk,"Norfolk, VA",2-year,Public,Very Large,Suburban,Unknown,Unknown,Unknown
Toronto Metropolitan University,"Toronto, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Toulouse Business School,"Barcelona, Spain",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Touro College Los Angeles,"West Hollywood, CA",4-year,Private,Small,Urban,Unknown,Unknown,Unknown
Touro University Nevada,"Henderson, NV",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Trent University,"Peterborough, Canada",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Tri Rivers Career Center,"Marion, OH",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Tri-State Bible College,"South Point, OH",4-year,Private,Unknown,Rural,Unknown,Unknown,Unknown
Trinity College of Nursing & Health Sciences,"Rock Island, IL",4-year,Private,Small,Suburban,Unknown,Unknown,Unknown
Tulsa Technology Center Lemley,"Tulsa, OK",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
U-Tad University Of Technology Arts And Design,"Las Rozas, Spain",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Ulster University,"Belfast, United Kingdom",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Unification Theological Seminary,"New York, NY",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
UnityPoint Health-Des Moines School of Radiologic Technology,"Des Moines, IA",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Universidad Anahuac,"Huixquilucan, Mexico",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Universidad Autonoma de Coahuila,"Saltillo, Mexico",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Universidad Catolica De Honduras,"Tegucigalpa, Honduras",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Universidad De Iberoamerica Costa Rica,"Tibas, Costa Rica",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Universidad De Los Andes,"Bogota, Colombia",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Universidad de Monterrey,"San Pedro Garza Garcia, Mexico",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Universidad del Valle de Guatemala,"Guatemala City, Guatemala",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Universidad Francisco Marroquin,"Guatemala, Guatemala",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Universite De Saint-Boniface,"Winnipeg, Canada",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown
University College Dublin International,"Dublin, Ireland",Unknown,Private,Unknown,Suburban,Unknown,Unknown,Unknown
University College Roosevelt,"Middelburg, Netherlands",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
University College Utrecht,"Utrecht, Netherlands",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
University of Alberta,"Edmonton, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
University of Arkansas for Medical Sciences,"Little Rock, AR",4-year,Public,Small,Urban,Unknown,Unknown,Unknown
University of Auckland,"Auckland, New Zealand",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown
University of Balamand,"Al Kurah, Lebanon",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
University Of Balamand Dubai,"Dubayy, United Arab Emirates",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
University Of Bologna,"Bologna, Italy",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
University of Bristol,"Bristol, United Kingdom",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
University of British Columbia,"Vancouver, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
University of Canterbury,"Christchurch, New Zealand",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
University of Chichester,"Chichester, United Kingdom",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
